draft_round,draft_pick,team,player,pos,age,year_max,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,draft_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,tackles_solo,def_int,sacks,college_id,college_link
2,50,Washington Commanders,Mike Sainristil,DB,23,2024,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,62,2,,Michigan,College Stats
2,51,Pittsburgh Steelers,Zach Frazier,OL,23,2024,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,-2,0,,,,West Virginia,College Stats
2,52,Indianapolis Colts,Adonai Mitchell,WR,21,2024,0,0,1,3,3,17,1,1,24,0,0,4,6,0,23,312,0,,,,Texas,College Stats
2,53,Washington Commanders,Ben Sinnott,TE,22,2024,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,28,1,2,,,Kansas St.,College Stats
2,54,Cleveland Browns,Michael Hall,DT,21,2024,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,8,,1.0,Ohio St.,College Stats
2,55,Miami Dolphins,Patrick Paul,OL,22,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,College Stats
2,56,Dallas Cowboys,Marshawn Kneeland,DL,23,2024,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,9,,,Western Michigan,College Stats
2,57,Tampa Bay Buccaneers,Chris Braswell,LB,22,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,11,,1.5,Alabama,College Stats
2,58,Green Bay Packers,Javon Bullard,DB,22,2024,0,0,1,4,4,15,0,0,0,0,0,0,0,0,0,0,0,61,,,Georgia,College Stats
2,59,Houston Texans,Blake Fisher,OL,21,2024,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
2,60,Buffalo Bills,Cole Bishop,SAF,21,2024,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,25,,,Utah,College Stats
2,61,Detroit Lions,Ennis Rakestraw,DB,22,2024,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,Missouri,College Stats
2,62,Baltimore Ravens,Roger Rosengarten,OL,22,2024,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,College Stats
2,63,Kansas City Chiefs,Kingsley Suamataia,OL,21,2024,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,College Stats
2,64,San Francisco 49ers,Renardo Green,DB,23,2024,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,41,1,,Florida St.,College Stats
3,65,New York Jets,Malachi Corley,WR,22,2024,0,0,0,0,0,9,0,0,0,0,0,2,26,0,3,16,0,,,,Western Kentucky,College Stats
3,66,Arizona Cardinals,Trey Benson,RB,21,2024,0,0,0,2,2,13,0,0,0,0,0,63,291,1,6,59,0,,,,Florida St.,College Stats
3,67,Washington Commanders,Brandon Coleman,OL,23,2024,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats
3,68,New England Patriots,Caedan Wallace,OL,24,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats
3,69,Los Angeles Chargers,Junior Colson,LB,21,2024,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,15,,,Michigan,College Stats
3,70,New York Giants,Andru Phillips,DB,22,2024,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,46,1,1.0,Kentucky,College Stats
3,71,Arizona Cardinals,Isaiah Adams,OL,24,2024,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats
